Row Labels,Sum of placed_gmv,Count of Years (order_date)
8c0a76a,250.32,1
Qtr4,250.32,1
8d1041a,500.64,1
Qtr4,500.64,1
8db40e0,247.56,1
Qtr4,247.56,1
8dc47b6,248.52,1
Qtr4,248.52,1
8e125ba,487.92,1
Qtr4,487.92,1
8fea57e,250.32,1
Qtr4,250.32,1
9031b8b,1251.6,1
Qtr4,1251.6,1
9146aeb,500.64,1
Qtr4,500.64,1
917f1c0,251.1,1
Qtr4,251.1,1
91b9254,500.64,1
Qtr4,500.64,1
92a921c,15705.6,2
Qtr4,15705.6,2
93965d3,1001.28,1
Qtr4,1001.28,1
94d502e,500.64,1
Qtr4,500.64,1
94fc2be,976.32,1
Qtr4,976.32,1
9640fb9,251.1,1
Qtr4,251.1,1
99de2be,1501.92,1
Qtr4,1501.92,1
9a2f3c4,247.56,1
Qtr4,247.56,1
9ac7449,250.32,1
Qtr4,250.32,1
9b824dd,250.32,1
Qtr4,250.32,1
9ba48e6,975.84,1
Qtr4,975.84,1
9c193a0,1463.76,1
Qtr4,1463.76,1
9c6a3f7,248.64,1
Qtr4,248.64,1
9c72d7d,500.64,1
Qtr4,500.64,1
9c9daef,1001.28,1
Qtr4,1001.28,1
9d0c40a,497.46,2
Qtr4,497.46,2
9d46760,2503.2,1
Qtr4,2503.2,1
9e7da4c,500.64,1
Qtr4,500.64,1
9ea03ac,7862.4,1
Qtr4,7862.4,1
9f6f163,750.96,1
Qtr4,750.96,1
9fc7957,250.32,1
Qtr4,250.32,1
a1de9f4,492.96,1
Qtr4,492.96,1
a1f0898,250.32,1
Qtr4,250.32,1
a2ea268,250.32,1
Qtr4,250.32,1
a376ff0,248.64,1
Qtr4,248.64,1
a3f7c17,250.32,1
Qtr4,250.32,1
a4920df,500.64,1
Qtr4,500.64,1
a5df0a8,250.32,1
Qtr4,250.32,1
a5e57b6,497.46,2
Qtr4,497.46,2
a7d77af,500.64,1
Qtr4,500.64,1
a93950b,492.96,1
Qtr4,492.96,1
aa0fa3a,500.64,1
Qtr4,500.64,1
aae52e1,250.32,1
Qtr4,250.32,1
ab38e69,250.32,1
Qtr4,250.32,1
aba673e,750.96,1
Qtr4,750.96,1
b08428c,248.52,1
Qtr4,248.52,1
b112346,251.1,1
Qtr4,251.1,1
b17bf7f,972,1
Qtr4,972,1
b20b45d,250.32,1
Qtr4,250.32,1
b31db1a,251.1,1
Qtr4,251.1,1
b49bd52,1464.96,2
Qtr4,1464.96,2
b504f8a,500.64,1
Qtr4,500.64,1
b53c0c5,487.92,1
Qtr4,487.92,1
b58353a,248.52,1
Qtr4,248.52,1
b646a3b,250.32,1
Qtr4,250.32,1
b8126ac,247.56,1
Qtr4,247.56,1
b825691,250.32,1
Qtr4,250.32,1
